councillor_id,community
Ainslie Paul,1
Bradford Brad,2
Bravo Alejandra,1
Burnside Jon,2
Carroll Shelley,1
Cheng Lily,1
Colle Mike,1
Crisanti Vincent,2
Fletcher Paula,1
Holyday Stephen,2
Malik Ausma,1
Mantas Nick,2
Matlow Josh,1
McKelvie Jennifer,2
Moise Chris,1
Morley Amber,1
Myers Jamaal,1
Nunziata Frances,2
Pasternak James,2
Perks Gord,1
Perruzza Anthony,2
Saxe Dianne,1
Thompson Michael,2
Chow Olivia,1
Kandavel Parthi,2
